date,smb_percent,hml_percent
1992-07-01,-0.44,-0.53
1992-08-01,-0.12,-1.03
1992-09-01,0.56,-0.21
1992-10-01,2.05,-2.10
1992-11-01,3.70,-1.48
1992-12-01,1.64,2.52
1993-01-01,2.03,5.87
1993-02-01,-3.43,6.42
1993-03-01,0.23,1.22
1993-04-01,-0.70,2.61
1993-05-01,1.96,-3.41
1993-06-01,-0.31,2.62
1993-07-01,0.93,3.25
1993-08-01,0.31,-0.45
1993-09-01,3.11,-0.44
1993-10-01,1.45,-1.54
1993-11-01,-1.42,-0.27
1993-12-01,1.22,0.57
1994-01-01,0.15,2.09
1994-02-01,2.73,-1.45
1994-03-01,-0.98,1.29
1994-04-01,-0.92,1.68
1994-05-01,-2.01,0.20
1994-06-01,-0.45,1.69
1994-07-01,-1.72,0.62
1994-08-01,1.34,-2.81
1994-09-01,2.83,-1.91
1994-10-01,-2.35,-1.74
1994-11-01,0.26,-0.94
1994-12-01,0.04,0.54
1995-01-01,-2.65,0.81
1995-02-01,-0.67,1.09
1995-03-01,-0.69,-1.10
1995-04-01,-0.63,2.27
1995-05-01,-2.21,1.72
1995-06-01,2.93,-2.28
1995-07-01,2.10,-1.67
1995-08-01,1.59,2.71
1995-09-01,-2.11,-0.75
1995-10-01,-3.75,-0.74
1995-11-01,-1.16,0.94
1995-12-01,0.58,0.87
1996-01-01,-2.62,0.30
1996-02-01,1.89,-1.42
1996-03-01,1.31,1.01
1996-04-01,4.91,-3.91
1996-05-01,3.05,-1.20
1996-06-01,-3.58,1.56
1996-07-01,-3.84,4.45
1996-08-01,2.30,-0.46
1996-09-01,-0.88,-3.15
1996-10-01,-4.44,5.12
1996-11-01,-3.89,1.16
1996-12-01,3.19,0.88
1997-01-01,-1.84,-1.64
1997-02-01,-2.91,5.19
1997-03-01,-0.38,3.81
1997-04-01,-5.65,-0.07
1997-05-01,4.89,-3.87
1997-06-01,1.32,1.23
1997-07-01,-2.80,0.82
1997-08-01,7.31,1.38
1997-09-01,2.61,0.01
1997-10-01,-0.68,1.95
1997-11-01,-4.95,0.79
1997-12-01,-2.35,3.45
1998-01-01,-1.16,-1.45
1998-02-01,0.01,-0.13
1998-03-01,-0.93,1.05
1998-04-01,0.21,0.74
1998-05-01,-3.75,4.16
1998-06-01,-3.16,-2.33
1998-07-01,-5.12,-0.96
1998-08-01,-5.31,3.40
1998-09-01,-0.14,-3.31
1998-10-01,-3.29,-2.21
1998-11-01,1.07,-3.15
1998-12-01,-0.35,-4.46
1999-01-01,0.37,-4.03
1999-02-01,-5.67,1.40
1999-03-01,-3.92,-2.65
1999-04-01,4.00,2.53
1999-05-01,3.42,2.40
1999-06-01,3.05,-3.60
1999-07-01,2.67,-0.76
1999-08-01,-1.27,-1.31
1999-09-01,3.34,-3.39
1999-10-01,-6.95,-2.89
1999-11-01,7.37,-6.51
1999-12-01,7.12,-8.73
2000-01-01,4.95,-0.28
2000-02-01,21.70,-9.93
2000-03-01,-16.87,7.37
2000-04-01,-7.72,8.61
2000-05-01,-5.11,2.57
2000-06-01,13.85,-9.86
2000-07-01,-2.76,8.06
2000-08-01,-1.15,-0.66
2000-09-01,-1.32,6.13
2000-10-01,-3.80,5.64
2000-11-01,-2.77,11.26
2000-12-01,0.96,7.38
2001-01-01,6.54,-4.86
2001-02-01,-0.72,12.87
2001-03-01,0.35,6.46
2001-04-01,0.54,-4.72
2001-05-01,2.58,3.17
2001-06-01,6.03,-1.03
2001-07-01,-4.35,5.57
2001-08-01,2.50,2.50
2001-09-01,-6.12,1.60
2001-10-01,7.63,-8.10
2001-11-01,-0.41,2.01
2001-12-01,4.57,1.10
2002-01-01,1.19,3.33
2002-02-01,-1.10,2.50
2002-03-01,4.23,1.10
2002-04-01,5.94,3.93
2002-05-01,-3.21,1.68
2002-06-01,4.27,0.12
2002-07-01,-5.30,-3.44
2002-08-01,-2.44,2.53
2002-09-01,2.57,1.32
2002-10-01,-2.90,-5.45
2002-11-01,2.84,-1.12
2002-12-01,0.01,2.23
2003-01-01,1.38,-0.94
2003-02-01,-0.34,-1.45
2003-03-01,0.89,-2.07
2003-04-01,0.56,1.03
2003-05-01,4.69,-0.29
2003-06-01,1.67,0.69
2003-07-01,5.24,-1.14
2003-08-01,2.60,2.03
2003-09-01,0.80,0.01
2003-10-01,2.68,1.77
2003-11-01,2.02,1.85
2003-12-01,-3.00,2.41
2004-01-01,2.80,1.97
2004-02-01,-1.43,0.50
2004-03-01,1.75,0.22
2004-04-01,-2.06,-2.62
2004-05-01,-0.21,-0.39
2004-06-01,2.26,1.39
2004-07-01,-3.81,4.11
2004-08-01,-1.62,1.03
2004-09-01,3.03,-0.25
2004-10-01,0.31,-0.63
2004-11-01,3.90,1.79
2004-12-01,0.11,-0.08
2005-01-01,-1.51,1.96
2005-02-01,-0.50,1.65
2005-03-01,-1.37,1.61
2005-04-01,-3.98,-0.35
2005-05-01,2.88,-0.81
2005-06-01,2.62,2.63
2005-07-01,2.93,-0.52
2005-08-01,-0.92,1.27
2005-09-01,-0.58,0.77
2005-10-01,-1.21,0.22
2005-11-01,0.90,-1.19
2005-12-01,-0.46,0.44
2006-01-01,5.42,1.13
2006-02-01,-0.37,-0.25
2006-03-01,3.54,0.60
2006-04-01,-1.34,2.61
2006-05-01,-3.05,2.54
2006-06-01,-0.35,0.87
2006-07-01,-4.07,2.94
2006-08-01,0.91,-1.71
2006-09-01,-1.37,0.04
2006-10-01,1.73,-0.03
2006-11-01,0.86,0.08
2006-12-01,-1.10,3.16
2007-01-01,0.10,-0.11
2007-02-01,1.32,-0.10
2007-03-01,-0.05,-0.22
2007-04-01,-2.06,-1.15
2007-05-01,0.02,-0.04
2007-06-01,0.77,-1.12
2007-07-01,-2.51,-3.33
2007-08-01,-0.13,-2.24
2007-09-01,-2.29,-1.86
2007-10-01,0.22,-2.60
2007-11-01,-2.62,-1.18
2007-12-01,0.20,-0.51
2008-01-01,-0.90,3.65
2008-02-01,-0.24,-0.94
2008-03-01,0.95,-0.14
2008-04-01,-1.64,-0.95
2008-05-01,3.22,-1.38
2008-06-01,1.28,-2.42
2008-07-01,2.45,5.88
2008-08-01,3.61,1.52
2008-09-01,-1.16,6.33
2008-10-01,-2.32,-2.89
2008-11-01,-2.96,-6.02
2008-12-01,3.61,-0.25
2009-01-01,0.08,-11.18
2009-02-01,0.22,-7.27
2009-03-01,-0.08,3.56
2009-04-01,4.77,5.53
2009-05-01,-2.34,-0.23
2009-06-01,2.62,-2.72
2009-07-01,2.07,5.28
2009-08-01,-0.90,7.75
2009-09-01,2.46,0.93
2009-10-01,-4.23,-4.18
2009-11-01,-2.50,-0.17
2009-12-01,6.10,0.00
2010-01-01,0.38,0.30
2010-02-01,1.21,3.16
2010-03-01,1.43,2.11
2010-04-01,4.97,2.81
2010-05-01,0.05,-2.38
2010-06-01,-1.97,-4.50
2010-07-01,0.17,-0.26
2010-08-01,-3.00,-1.95
2010-09-01,3.92,-3.13
2010-10-01,1.13,-2.60
2010-11-01,3.70,-0.90
2010-12-01,0.69,3.82
2011-01-01,-2.47,0.82
2011-02-01,1.53,1.10
2011-03-01,2.60,-1.58
2011-04-01,-0.34,-2.52
2011-05-01,-0.70,-2.08
2011-06-01,-0.16,-0.32
2011-07-01,-1.35,-1.21
2011-08-01,-3.05,-2.48
2011-09-01,-3.53,-1.41
2011-10-01,3.42,-0.18
2011-11-01,-0.17,-0.34
2011-12-01,-0.70,1.77
2012-01-01,2.15,-1.13
2012-02-01,-1.75,0.08
2012-03-01,-0.62,0.92
2012-04-01,-0.52,-0.48
2012-05-01,0.00,-0.59
2012-06-01,0.76,0.44
2012-07-01,-2.61,-0.27
2012-08-01,0.40,1.31
2012-09-01,0.49,1.53
2012-10-01,-1.15,3.79
2012-11-01,0.59,-0.97
2012-12-01,1.48,3.58
2013-01-01,0.39,0.95
2013-02-01,-0.45,0.03
2013-03-01,0.81,-0.30
2013-04-01,-2.42,0.62
2013-05-01,1.66,2.60
2013-06-01,1.17,-0.17
2013-07-01,1.86,0.56
2013-08-01,0.31,-2.78
2013-09-01,2.92,-1.19
2013-10-01,-1.51,1.14
2013-11-01,1.22,0.24
2013-12-01,-0.50,-0.31
2014-01-01,0.85,-2.09
2014-02-01,0.34,-0.40
2014-03-01,-1.89,5.09
2014-04-01,-4.24,1.14
2014-05-01,-1.86,-0.27
2014-06-01,3.08,-0.74
2014-07-01,-4.25,0.01
2014-08-01,0.36,-0.59
2014-09-01,-3.83,-1.23
2014-10-01,4.21,-1.70
2014-11-01,-2.09,-3.00
2014-12-01,2.55,2.06
2015-01-01,-0.56,-3.48
2015-02-01,0.49,-1.81
2015-03-01,3.03,-0.46
2015-04-01,-2.98,1.85
2015-05-01,0.87,-1.37
2015-06-01,2.83,-0.79
2015-07-01,-4.15,-4.12
2015-08-01,0.49,2.66
2015-09-01,-2.64,0.53
2015-10-01,-1.97,-0.07
2015-11-01,3.64,-0.51
2015-12-01,-2.83,-2.59
2016-01-01,-3.35,2.08
2016-02-01,0.79,-0.50
2016-03-01,0.87,1.16
2016-04-01,0.69,3.26
2016-05-01,-0.27,-1.81
2016-06-01,0.65,-1.47
2016-07-01,2.64,-1.11
2016-08-01,1.16,3.34
2016-09-01,2.02,-1.49
2016-10-01,-4.39,4.16
2016-11-01,5.47,8.29
2016-12-01,0.10,3.58
2017-01-01,-1.04,-2.78
2017-02-01,-2.02,-1.79
2017-03-01,1.20,-3.17
2017-04-01,0.71,-1.87
2017-05-01,-2.54,-3.78
2017-06-01,2.17,1.35
2017-07-01,-1.41,-0.29
2017-08-01,-1.67,-2.24
2017-09-01,4.55,3.03
2017-10-01,-1.94,-0.05
2017-11-01,-0.65,-0.04
2017-12-01,-1.28,0.14
2018-01-01,-3.03,-1.37
2018-02-01,0.26,-1.19
2018-03-01,3.95,-0.12
2018-04-01,1.12,0.54
2018-05-01,5.23,-3.16
2018-06-01,1.18,-2.38
2018-07-01,-2.17,0.43
2018-08-01,1.15,-4.08
2018-09-01,-2.37,-1.30
2018-10-01,-4.76,3.44
2018-11-01,-0.79,0.25
2018-12-01,-2.63,-1.47
2019-01-01,3.01,-0.62
2019-02-01,2.06,-2.84
2019-03-01,-3.13,-4.07
2019-04-01,-1.68,1.93
2019-05-01,-1.20,-2.39
2019-06-01,0.34,-1.08
2019-07-01,-2.07,0.14
2019-08-01,-2.41,-4.99
2019-09-01,-0.90,6.71
2019-10-01,0.25,-2.07
2019-11-01,0.87,-1.86
2019-12-01,0.68,1.83
2020-01-01,-3.11,-6.27
2020-02-01,0.96,-4.01
