date,smb_percent,hml_percent
1992-07-01,-0.45,-0.51
1992-08-01,-0.10,-1.09
1992-09-01,0.55,-0.19
1992-10-01,2.11,-1.98
1992-11-01,3.68,-1.52
1992-12-01,1.65,2.64
1993-01-01,1.89,5.90
1993-02-01,-3.39,6.48
1993-03-01,0.29,1.26
1993-04-01,-0.62,2.55
1993-05-01,2.06,-3.46
1993-06-01,-0.30,2.64
1993-07-01,0.96,2.87
1993-08-01,0.11,0.18
1993-09-01,3.09,-0.24
1993-10-01,1.99,-2.78
1993-11-01,-1.27,-0.78
1993-12-01,1.19,0.25
1994-01-01,0.33,1.10
1994-02-01,2.76,-1.52
1994-03-01,-1.08,1.67
1994-04-01,-0.93,1.66
1994-05-01,-2.09,0.60
1994-06-01,-0.43,1.77
1994-07-01,-1.81,0.61
1994-08-01,1.50,-2.55
1994-09-01,3.04,-1.81
1994-10-01,-2.16,-1.66
1994-11-01,0.28,-0.73
1994-12-01,0.17,-0.09
1995-01-01,-3.51,2.59
1995-02-01,-0.61,0.99
1995-03-01,-0.20,-2.13
1995-04-01,-0.51,1.67
1995-05-01,-2.53,2.28
1995-06-01,3.17,-2.54
1995-07-01,2.09,-1.58
1995-08-01,1.31,2.68
1995-09-01,-2.16,-0.11
1995-10-01,-3.80,-0.49
1995-11-01,-1.12,0.52
1995-12-01,0.66,0.24
1996-01-01,-2.83,0.46
1996-02-01,1.79,-1.05
1996-03-01,1.43,0.42
1996-04-01,5.20,-3.97
1996-05-01,3.20,-0.90
1996-06-01,-4.00,2.33
1996-07-01,-4.30,5.19
1996-08-01,2.45,-0.82
1996-09-01,-1.02,-2.74
1996-10-01,-4.39,4.88
1996-11-01,-4.04,1.40
1996-12-01,3.12,1.28
1997-01-01,-1.93,-1.44
1997-02-01,-3.16,5.61
1997-03-01,-0.33,3.39
1997-04-01,-5.74,0.00
1997-05-01,5.12,-4.11
1997-06-01,1.21,1.44
1997-07-01,-2.73,0.13
1997-08-01,7.15,1.13
1997-09-01,2.54,0.24
1997-10-01,-0.71,2.33
1997-11-01,-5.11,1.22
1997-12-01,-2.48,3.74
1998-01-01,-1.01,-1.68
1998-02-01,0.13,-0.93
1998-03-01,-1.19,1.38
1998-04-01,0.06,1.03
1998-05-01,-3.40,3.41
1998-06-01,-3.17,-2.03
1998-07-01,-4.83,-1.83
1998-08-01,-5.47,3.57
1998-09-01,-0.02,-3.51
1998-10-01,-2.98,-2.33
1998-11-01,1.26,-3.24
1998-12-01,-0.46,-4.25
1999-01-01,0.67,-4.46
1999-02-01,-6.02,1.95
1999-03-01,-3.84,-2.61
1999-04-01,3.89,2.40
1999-05-01,3.32,2.49
1999-06-01,3.23,-3.22
1999-07-01,2.48,-0.18
1999-08-01,-0.95,-1.93
1999-09-01,3.12,-2.90
1999-10-01,-6.94,-2.88
1999-11-01,6.87,-5.65
1999-12-01,6.56,-7.66
2000-01-01,5.16,-1.12
2000-02-01,21.25,-9.77
2000-03-01,-17.41,8.50
2000-04-01,-6.00,6.45
2000-05-01,-6.08,4.59
2000-06-01,12.71,-8.04
2000-07-01,-2.84,8.06
2000-08-01,-0.50,-1.37
2000-09-01,-1.74,7.24
2000-10-01,-3.85,5.58
2000-11-01,-3.08,12.24
2000-12-01,0.82,7.55
2001-01-01,6.41,-5.05
2001-02-01,-0.65,12.23
2001-03-01,0.26,6.47
2001-04-01,0.50,-4.64
2001-05-01,2.48,3.38
2001-06-01,6.35,-1.26
2001-07-01,-4.05,4.95
2001-08-01,2.19,2.86
2001-09-01,-6.23,1.52
2001-10-01,7.49,-7.31
2001-11-01,-0.57,2.17
2001-12-01,4.72,0.83
2002-01-01,1.17,3.42
2002-02-01,-1.08,2.34
2002-03-01,4.09,1.08
2002-04-01,5.82,4.01
2002-05-01,-3.27,1.52
2002-06-01,4.08,0.37
2002-07-01,-5.25,-3.51
2002-08-01,-2.80,3.01
2002-09-01,2.42,1.26
2002-10-01,-3.40,-3.76
2002-11-01,3.26,-1.16
2002-12-01,-0.04,2.11
2003-01-01,1.34,-0.79
2003-02-01,-0.44,-1.36
2003-03-01,1.17,-2.11
2003-04-01,0.76,1.22
2003-05-01,4.61,0.70
2003-06-01,1.70,0.14
2003-07-01,4.93,-1.53
2003-08-01,2.44,1.64
2003-09-01,0.85,0.14
2003-10-01,2.59,2.21
2003-11-01,2.06,1.72
2003-12-01,-2.68,1.51
2004-01-01,2.54,2.42
2004-02-01,-1.57,0.95
2004-03-01,1.73,0.23
2004-04-01,-1.73,-3.23
2004-05-01,-0.23,-0.18
2004-06-01,2.25,1.21
2004-07-01,-3.76,3.22
2004-08-01,-1.52,1.09
2004-09-01,3.00,-0.07
2004-10-01,0.13,-0.25
2004-11-01,3.73,1.57
2004-12-01,-0.03,-0.22
2005-01-01,-1.66,2.05
2005-02-01,-0.57,1.41
2005-03-01,-1.41,2.07
2005-04-01,-3.93,0.05
2005-05-01,2.86,-0.59
2005-06-01,2.56,2.80
2005-07-01,2.87,-0.78
2005-08-01,-1.07,1.34
2005-09-01,-0.62,0.78
2005-10-01,-1.30,0.43
2005-11-01,1.05,-1.19
2005-12-01,-0.44,0.15
2006-01-01,5.46,0.99
2006-02-01,-0.41,-0.31
2006-03-01,3.39,0.61
2006-04-01,-1.38,2.26
2006-05-01,-3.01,2.38
2006-06-01,-0.35,0.85
2006-07-01,-3.95,2.62
2006-08-01,0.99,-1.95
2006-09-01,-1.30,0.06
2006-10-01,1.77,-0.33
2006-11-01,0.63,0.03
2006-12-01,-1.16,2.75
2007-01-01,0.09,-0.68
2007-02-01,1.23,-0.08
2007-03-01,0.09,-0.88
2007-04-01,-2.21,-1.45
2007-05-01,0.16,-0.58
2007-06-01,0.73,-1.05
2007-07-01,-2.66,-3.68
2007-08-01,-0.11,-1.87
2007-09-01,-2.25,-2.17
2007-10-01,0.19,-2.87
2007-11-01,-2.81,-1.09
2007-12-01,0.11,-0.51
2008-01-01,-1.02,4.00
2008-02-01,-0.48,-0.72
2008-03-01,0.71,0.31
2008-04-01,-1.69,-0.96
2008-05-01,2.97,-1.50
2008-06-01,1.15,-2.51
2008-07-01,2.60,5.20
2008-08-01,3.40,1.52
2008-09-01,-1.07,5.66
2008-10-01,-2.31,-1.89
2008-11-01,-3.01,-6.21
2008-12-01,3.52,0.05
2009-01-01,0.04,-11.02
2009-02-01,0.14,-6.60
2009-03-01,-0.10,3.48
2009-04-01,5.40,5.38
2009-05-01,-2.41,0.41
2009-06-01,2.58,-2.76
2009-07-01,1.75,4.89
2009-08-01,-1.12,7.60
2009-09-01,2.43,1.15
2009-10-01,-4.26,-4.17
2009-11-01,-2.50,-0.33
2009-12-01,6.01,-0.11
