date,rmw_percent,cma_percent
2015-05-01,-1.72,-0.74
2015-06-01,0.50,-1.47
2015-07-01,0.04,-2.56
2015-08-01,0.76,1.25
2015-09-01,1.81,-0.51
2015-10-01,0.82,0.43
2015-11-01,-2.57,-1.10
2015-12-01,0.31,0.13
2016-01-01,2.60,3.02
2016-02-01,3.29,2.05
2016-03-01,0.81,-0.02
2016-04-01,-2.89,1.97
2016-05-01,-1.02,-2.55
2016-06-01,1.19,1.92
2016-07-01,1.33,-1.24
2016-08-01,-1.33,-0.39
2016-09-01,-2.29,-0.08
2016-10-01,1.19,0.24
2016-11-01,-0.10,3.70
2016-12-01,0.99,-0.30
2017-01-01,-0.01,-0.95
2017-02-01,0.78,-1.72
2017-03-01,0.68,-1.00
2017-04-01,2.00,-1.55
2017-05-01,1.21,-1.88
2017-06-01,-2.01,-0.07
2017-07-01,-0.71,-0.15
2017-08-01,0.28,-2.42
2017-09-01,-1.18,1.63
2017-10-01,1.04,-3.33
2017-11-01,3.12,0.00
2017-12-01,0.65,1.65
2018-01-01,-0.50,-0.89
2018-02-01,0.52,-2.25
2018-03-01,-0.51,0.00
2018-04-01,-2.09,1.18
2018-05-01,-1.95,-1.42
2018-06-01,0.71,0.33
2018-07-01,1.61,0.43
2018-08-01,-0.28,-2.50
2018-09-01,0.59,1.24
2018-10-01,0.87,3.45
2018-11-01,-0.60,0.32
2018-12-01,-0.13,0.16
2019-01-01,-0.69,-1.36
2019-02-01,0.24,-1.47
2019-03-01,0.93,-1.02
2019-04-01,1.75,-2.17
2019-05-01,-0.35,1.78
2019-06-01,0.94,-0.38
2019-07-01,-0.08,0.36
2019-08-01,0.37,-0.96
2019-09-01,1.97,3.55
2019-10-01,0.43,-0.96
2019-11-01,-1.50,-1.29
2019-12-01,0.21,1.31
2020-01-01,-1.23,-2.34
2020-02-01,-1.64,-2.53
