date,rmw_percent,cma_percent
2015-05-01,-1.76,-0.83
2015-06-01,0.35,-1.54
2015-07-01,0.31,-2.44
2015-08-01,0.66,1.29
2015-09-01,1.80,-0.59
2015-10-01,0.95,0.61
2015-11-01,-2.65,-1.06
2015-12-01,0.34,0.12
2016-01-01,2.78,3.05
2016-02-01,3.31,1.94
2016-03-01,0.68,0.01
2016-04-01,-2.85,1.77
2016-05-01,-1.10,-2.54
2016-06-01,1.45,1.90
2016-07-01,1.31,-1.16
2016-08-01,-1.85,-0.36
2016-09-01,-2.18,0.03
2016-10-01,0.99,0.25
2016-11-01,-0.24,3.71
2016-12-01,1.24,-0.32
2017-01-01,-0.51,-1.06
2017-02-01,0.45,-1.80
2017-03-01,0.63,-0.95
2017-04-01,1.79,-1.60
2017-05-01,0.99,-1.66
2017-06-01,-2.26,0.04
2017-07-01,-0.75,-0.15
2017-08-01,0.20,-2.38
2017-09-01,-1.54,1.63
2017-10-01,0.92,-3.14
2017-11-01,3.19,-0.10
2017-12-01,0.73,1.79
2018-01-01,-0.75,-1.05
2018-02-01,0.53,-2.36
2018-03-01,-0.41,0.08
2018-04-01,-2.42,1.24
2018-05-01,-1.98,-1.49
2018-06-01,0.83,0.20
2018-07-01,1.53,0.31
2018-08-01,-0.29,-2.57
2018-09-01,0.65,1.36
2018-10-01,1.03,3.60
2018-11-01,-0.61,0.40
2018-12-01,-0.03,0.24
2019-01-01,-0.73,-1.65
2019-02-01,0.16,-1.54
2019-03-01,0.88,-0.90
2019-04-01,1.61,-2.18
2019-05-01,-0.48,1.76
2019-06-01,0.45,-0.55
2019-07-01,-0.13,0.37
2019-08-01,0.53,-0.62
2019-09-01,1.82,3.38
2019-10-01,0.43,-1.03
2019-11-01,-1.64,-1.14
2019-12-01,0.05,1.19
2020-01-01,-1.19,-2.19
2020-02-01,-1.43,-2.53
2020-03-01,-1.61,1.19
2020-04-01,2.76,-1.02
2020-05-01,0.96,-3.16
2020-06-01,0.14,0.55
2020-07-01,0.38,0.97
2020-08-01,4.27,-1.51
2020-09-01,-1.38,-1.93
2020-10-01,-0.77,-0.57
2020-11-01,-2.25,1.28
2020-12-01,-1.97,-0.06
2021-01-01,-3.65,4.97
2021-02-01,0.33,-1.99
2021-03-01,6.35,3.52
2021-04-01,2.43,-2.72
2021-05-01,2.34,3.01
2021-06-01,-2.14,-0.93
2021-07-01,5.50,-0.59
2021-08-01,-0.26,-1.72
2021-09-01,-1.92,2.00
2021-10-01,1.71,-1.54
2021-11-01,7.19,1.70
2021-12-01,4.88,4.29
2022-01-01,0.77,7.73
2022-02-01,-2.03,3.03
2022-03-01,-1.50,3.21
2022-04-01,3.41,5.92
2022-05-01,1.55,3.95
2022-06-01,1.76,-4.58
2022-07-01,0.77,-6.85
2022-08-01,-4.74,1.32
2022-09-01,-1.33,-0.77
2022-10-01,3.27,6.43
2022-11-01,6.29,3.15
2022-12-01,0.34,4.28
2023-01-01,-2.44,-4.43
2023-02-01,0.99,-1.51
2023-03-01,2.27,-2.10
2023-04-01,2.41,2.85
2023-05-01,-1.78,-7.08
2023-06-01,2.31,-1.54
2023-07-01,-0.59,0.66
2023-08-01,3.33,-2.37
2023-09-01,1.85,-0.75
2023-10-01,2.41,-0.72
2023-11-01,-3.73,-1.08
2023-12-01,-2.94,1.26
2024-01-01,0.64,-0.95
2024-02-01,-2.03,-2.21
2024-03-01,1.32,1.14
2024-04-01,1.15,-0.34
2024-05-01,3.21,-2.90
2024-06-01,0.56,-1.79
2024-07-01,0.26,0.27
2024-08-01,0.75,0.79
2024-09-01,0.19,-0.25
2024-10-01,-1.49,1.02
2024-11-01,-2.27,-1.93
2024-12-01,1.88,-1.20
2025-01-01,-2.35,-3.22
2025-02-01,1.07,3.09
2025-03-01,2.09,-0.46
2025-04-01,-2.83,-2.59
2025-05-01,1.29,2.48
2025-06-01,-3.19,1.38
2025-07-01,-0.24,-2.04
2025-08-01,-0.74,1.99
2025-09-01,-2.15,-2.24
2025-10-01,-5.80,-4.04
2025-11-01,1.66,0.62
2025-12-01,0.38,0.39
2026-01-01,1.80,1.81
2026-02-01,1.91,5.04
2026-03-01,-2.08,-0.10
2026-04-01,-4.30,-3.78
2026-05-01,-8.42,-1.40
2026-06-01,-4.64,3.46
