date,mom_percent
1994-01-31,0.02
1994-02-28,-0.29
1994-03-31,-1.33
1994-04-30,0.42
1994-05-31,-2.15
1994-06-30,-0.83
1994-07-31,0.19
1994-08-31,1.54
1994-09-30,1.32
1994-10-31,1.41
1994-11-30,-0.20
1994-12-31,3.50
1995-01-31,-1.82
1995-02-28,-0.34
1995-03-31,0.36
1995-04-30,1.82
1995-05-31,-0.43
1995-06-30,2.88
1995-07-31,2.54
1995-08-31,0.09
1995-09-30,2.71
1995-10-31,4.12
1995-11-30,-0.64
1995-12-31,2.54
1996-01-31,0.57
1996-02-29,0.58
1996-03-31,-1.88
1996-04-30,-0.91
1996-05-31,1.56
1996-06-30,1.01
1996-07-31,-0.11
1996-08-31,-0.05
1996-09-30,2.69
1996-10-31,3.91
1996-11-30,-2.23
1996-12-31,0.61
1997-01-31,1.95
1997-02-28,-2.05
1997-03-31,0.97
1997-04-30,4.92
1997-05-31,-5.16
1997-06-30,2.62
1997-07-31,3.81
1997-08-31,-2.55
1997-09-30,1.45
1997-10-31,-0.38
1997-11-30,0.29
1997-12-31,3.95
1998-01-31,0.11
1998-02-28,-1.14
1998-03-31,2.15
1998-04-30,0.78
1998-05-31,1.88
1998-06-30,7.26
1998-07-31,3.68
1998-08-31,1.88
1998-09-30,-0.71
1998-10-31,-5.36
1998-11-30,1.16
1998-12-31,8.99
1999-01-31,3.04
1999-02-28,-0.16
1999-03-31,-1.29
1999-04-30,-9.06
1999-05-31,-5.28
1999-06-30,4.89
1999-07-31,1.52
1999-08-31,2.92
1999-09-30,6.44
1999-10-31,5.48
1999-11-30,5.62
1999-12-31,13.19
2000-01-31,1.86
2000-02-29,18.36
2000-03-31,-6.39
2000-04-30,-8.58
2000-05-31,-9.08
2000-06-30,16.60
2000-07-31,-0.11
2000-08-31,5.71
2000-09-30,2.18
2000-10-31,-4.63
2000-11-30,-2.41
2000-12-31,6.70
2001-01-31,-25.06
2001-02-28,12.51
2001-03-31,8.35
2001-04-30,-7.97
