feature,count_total,count_valid,missing_rate,zero_rate_valid,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew,kurtosis_excess,iqr_outlier_rate,abs_z_gt_3_rate,daily_cross_section_mean_abs_mean,daily_cross_section_std_mean,daily_cross_section_std_std,abs_value_gt_3_rate
log_return,31040,31040,0.0,0.0,-1.0433612461974448e-10,1.0000000001742406,-7.466094017028809,-2.559277799129486,-1.4414871096611024,-0.5224160552024841,-0.04361049644649029,0.4794672727584839,1.614793741703033,2.9681582713127153,7.369022369384766,0.43859916378730046,5.247335262846173,0.05025773195876289,0.016172680412371136,2.586290966955295e-09,1.0000000001742406,8.872643556325764e-09,0.016172680412371136
log_volume,31040,31040,0.0,0.0,1.8767763059568285e-10,0.9999999999519368,-3.4166007041931152,-2.634185080528259,-1.7273124635219574,-0.5766474157571793,-0.09711430221796036,0.6114760637283325,1.75868849158287,2.4778924298286444,3.5291519165039062,0.048501091199106845,0.4861187589708864,0.02780283505154639,0.0028994845360824743,2.5601135470442947e-09,0.9999999999519367,5.7367978983141385e-09,0.0028994845360824743
ret_mean_5,31040,31040,0.0,0.008247422680412371,1.405706103637901e-10,0.9958677515607213,-7.478652000427246,-2.417284970283508,-1.4442828297615051,-0.5478574335575104,-0.052255092188715935,0.47479093819856644,1.6414534091949462,2.9759645915031445,7.329198360443115,0.5021741574847844,4.39059847745636,0.0483569587628866,0.014465206185567011,2.595418701491429e-09,0.9917525779590971,0.09044005036537558,0.014368556701030927
ret_std_5,31040,31040,0.0,0.008247422680412371,-1.2708201867689681e-10,0.9958677511104472,-2.655965566635132,-1.4453749144077301,-1.1099725246429444,-0.6401118189096451,-0.21786467730998993,0.37684568017721176,1.8363805115222924,3.695288591384893,7.4683332443237305,1.9778385305022372,6.86049297896845,0.04719716494845361,0.01713917525773196,2.4932445313359344e-09,0.9917525775106835,0.09044005032448393,0.017042525773195875
momentum_5,31040,31040,0.0,0.008247422680412371,1.405706103637901e-10,0.9958677515607213,-7.478652000427246,-2.417284970283508,-1.4442828297615051,-0.5478574335575104,-0.052255092188715935,0.47479093819856644,1.6414534091949462,2.9759645915031445,7.329198360443115,0.5021741574847844,4.39059847745636,0.0483569587628866,0.014465206185567011,2.595418701491429e-09,0.9917525779590971,0.09044005036537558,0.014368556701030927
vol_mean_5,31040,31040,0.0,0.006185567010309278,-3.735617634241131e-11,0.9969024192609104,-3.3351383209228516,-2.67340695142746,-1.7411256968975066,-0.5594861507415771,-0.09566522762179375,0.5910760909318924,1.747755521535873,2.469021806716919,3.266132354736328,0.02848614798167911,0.5703423986392595,0.03334407216494845,0.003157216494845361,2.5435372149847362e-09,0.9938144332589733,0.07840475607003451,0.002931701030927835
vol_std_5,31040,31040,0.0,0.006185567010309278,-1.4796722838976158e-11,0.9969024190933868,-2.6423301696777344,-1.648935467004776,-1.260437273979187,-0.6654158681631088,-0.17401864379644394,0.46822233498096466,1.8675937354564662,3.3069443273544312,7.41718864440918,1.393641690187919,3.840959294434001,0.03547036082474227,0.013724226804123711,2.5895231892343537e-09,0.9938144330919686,0.07840475605685925,0.01365979381443299
ret_mean_20,31040,31040,0.0,0.03917525773195876,1.1312250563539996e-10,0.980216681249205,-5.538512229919434,-2.3963202381134034,-1.4524711489677429,-0.5400541126728058,-0.02740643545985222,0.46880878508090973,1.6620299577713007,2.8328645277023323,6.99989128112793,0.6038219240584877,3.749025687413717,0.05170747422680412,0.013337628865979381,2.603832816715009e-09,0.9608247422336235,0.19401174426022968,0.012435567010309278
ret_std_20,31040,31040,0.0,0.03917525773195876,6.746188670693243e-11,0.980216682000574,-2.3360724449157715,-1.5632519125938416,-1.1392180025577545,-0.6178021281957626,-0.17693036049604416,0.4042392820119858,1.7143626570701598,3.61984499931336,7.18821382522583,2.003838934610329,7.855281875277939,0.03762886597938144,0.014239690721649484,2.4621954253234436e-09,0.9608247429701278,0.1940117444089463,0.013853092783505154
momentum_20,31040,31040,0.0,0.03917525773195876,1.1312250563539996e-10,0.980216681249205,-5.538512229919434,-2.3963202381134034,-1.4524711489677429,-0.5400541126728058,-0.02740643545985222,0.46880878508090973,1.6620299577713007,2.8328645277023323,6.99989128112793,0.6038219240584877,3.749025687413717,0.05170747422680412,0.013337628865979381,2.603832816715009e-09,0.9608247422336235,0.19401174426022968,0.012435567010309278
