column,dtype,rows,missing_count,missing_rate,numeric_valid_count,zero_rate_numeric_valid
AdjC,float64,2050816,0,0.0,2050816,0.0
AdjClose,float64,2050816,0,0.0,2050816,0.0
AdjFactor,float64,2050816,0,0.0,2050816,0.0
AdjH,float64,2050816,0,0.0,2050816,0.0
AdjL,float64,2050816,0,0.0,2050816,0.0
AdjO,float64,2050816,0,0.0,2050816,0.0
AdjVo,float64,2050816,0,0.0,2050816,0.0
C,float64,2050816,0,0.0,2050816,0.0
Code,object,2050816,0,0.0,1974776,0.0
Date,datetime64[ns],2050816,0,0.0,2050816,0.0
ExRT,object,2050816,2050306,0.9997513184995631,510,0.0
H,float64,2050816,0,0.0,2050816,0.0
L,float64,2050816,0,0.0,2050816,0.0
LL,object,2050816,0,0.0,2050816,0.9990632996816877
MktCap,float64,2050816,183298,0.08937808170016227,1867518,0.0
O,float64,2050816,0,0.0,2050816,0.0
Ticker,object,2050816,0,0.0,1974776,0.0
UL,object,2050816,0,0.0,2050816,0.9972259822431656
Va,float64,2050816,0,0.0,2050816,0.0
Vo,float64,2050816,0,0.0,2050816,0.0
Volume,float64,2050816,0,0.0,2050816,0.0
