fold,k,Code,observations,long_days,short_days,long_rate,short_rate
0,5,24320,58,0,0,0.0,0.0
0,5,29140,58,0,0,0.0,0.0
0,5,33500,58,0,0,0.0,0.0
0,5,33820,58,0,0,0.0,0.0
0,5,40630,58,0,0,0.0,0.0
0,5,43850,58,0,0,0.0,0.0
0,5,45020,58,0,0,0.0,0.0
0,5,45190,58,0,0,0.0,0.0
0,5,45680,58,0,0,0.0,0.0
0,5,46610,58,0,0,0.0,0.0
0,5,47550,58,0,0,0.0,0.0
0,5,54010,58,50,0,0.8620689655172413,0.0
0,5,58010,58,0,0,0.0,0.0
0,5,58030,58,0,0,0.0,0.0
0,5,60980,58,0,0,0.0,0.0
0,5,61460,58,0,0,0.0,0.0
0,5,62730,58,0,0,0.0,0.0
0,5,63670,58,0,0,0.0,0.0
0,5,65010,58,0,0,0.0,0.0
0,5,65030,58,0,0,0.0,0.0
0,5,65260,58,0,0,0.0,0.0
0,5,65940,58,0,0,0.0,0.0
0,5,67010,58,57,0,0.9827586206896551,0.0
0,5,67020,58,0,0,0.0,0.0
0,5,67230,58,0,0,0.0,0.0
0,5,67580,58,0,0,0.0,0.0
0,5,67620,58,0,0,0.0,0.0
0,5,68570,58,0,0,0.0,0.0
0,5,68610,58,58,0,1.0,0.0
0,5,69020,58,0,54,0.0,0.9310344827586207
0,5,69200,58,58,0,1.0,0.0
0,5,69540,58,0,0,0.0,0.0
0,5,69810,58,0,0,0.0,0.0
0,5,70030,58,0,0,0.0,0.0
0,5,70110,58,0,0,0.0,0.0
0,5,70120,58,0,58,0.0,1.0
0,5,70130,58,0,58,0.0,1.0
0,5,72010,58,0,0,0.0,0.0
0,5,72030,58,58,0,1.0,0.0
0,5,72670,58,8,0,0.13793103448275862,0.0
0,5,74530,58,0,0,0.0,0.0
0,5,77350,58,1,0,0.017241379310344827,0.0
0,5,77410,58,0,0,0.0,0.0
0,5,77510,58,0,0,0.0,0.0
0,5,79360,58,0,57,0.0,0.9827586206896551
0,5,79740,58,0,0,0.0,0.0
0,5,80010,58,0,0,0.0,0.0
0,5,80310,58,0,0,0.0,0.0
0,5,80350,58,0,1,0.0,0.017241379310344827
0,5,80580,58,0,0,0.0,0.0
0,5,81360,58,0,5,0.0,0.08620689655172414
0,5,83060,58,0,0,0.0,0.0
0,5,83160,58,0,0,0.0,0.0
0,5,84110,58,0,57,0.0,0.9827586206896551
0,5,87250,58,0,0,0.0,0.0
0,5,87660,58,0,0,0.0,0.0
0,5,91010,58,0,0,0.0,0.0
0,5,91040,58,0,0,0.0,0.0
0,5,91070,58,0,0,0.0,0.0
0,5,94320,58,0,0,0.0,0.0
0,5,94330,58,0,0,0.0,0.0
0,5,95010,58,0,0,0.0,0.0
0,5,99830,58,0,0,0.0,0.0
0,5,99840,58,0,0,0.0,0.0
1,5,24320,57,0,0,0.0,0.0
1,5,29140,57,0,0,0.0,0.0
1,5,33500,57,0,0,0.0,0.0
1,5,33820,57,0,0,0.0,0.0
1,5,40630,57,0,0,0.0,0.0
1,5,43850,57,0,0,0.0,0.0
1,5,45020,57,0,0,0.0,0.0
1,5,45190,57,57,0,1.0,0.0
1,5,45680,57,0,0,0.0,0.0
1,5,46610,57,0,0,0.0,0.0
1,5,47550,57,0,0,0.0,0.0
1,5,54010,57,57,0,1.0,0.0
1,5,58010,57,0,0,0.0,0.0
1,5,58030,57,0,0,0.0,0.0
1,5,60980,57,0,0,0.0,0.0
1,5,61460,57,0,0,0.0,0.0
1,5,62730,57,0,0,0.0,0.0
1,5,63670,57,0,0,0.0,0.0
1,5,65010,57,0,0,0.0,0.0
1,5,65030,57,0,57,0.0,1.0
1,5,65260,57,0,0,0.0,0.0
1,5,65940,57,0,0,0.0,0.0
1,5,67010,57,0,0,0.0,0.0
1,5,67020,57,0,0,0.0,0.0
1,5,67230,57,0,0,0.0,0.0
1,5,67580,57,0,0,0.0,0.0
1,5,67620,57,0,0,0.0,0.0
1,5,68570,57,0,0,0.0,0.0
1,5,68610,57,0,0,0.0,0.0
1,5,69020,57,0,0,0.0,0.0
1,5,69200,57,0,0,0.0,0.0
1,5,69540,57,0,0,0.0,0.0
1,5,69810,57,0,57,0.0,1.0
1,5,70030,57,0,0,0.0,0.0
1,5,70110,57,0,0,0.0,0.0
1,5,70120,57,0,0,0.0,0.0
1,5,70130,57,0,0,0.0,0.0
1,5,72010,57,0,0,0.0,0.0
1,5,72030,57,0,0,0.0,0.0
1,5,72670,57,57,0,1.0,0.0
1,5,74530,57,0,57,0.0,1.0
1,5,77350,57,0,0,0.0,0.0
1,5,77410,57,57,0,1.0,0.0
1,5,77510,57,0,0,0.0,0.0
1,5,79360,57,0,0,0.0,0.0
1,5,79740,57,0,57,0.0,1.0
1,5,80010,57,0,0,0.0,0.0
1,5,80310,57,0,0,0.0,0.0
1,5,80350,57,0,0,0.0,0.0
1,5,80580,57,0,0,0.0,0.0
1,5,81360,57,0,0,0.0,0.0
1,5,83060,57,0,0,0.0,0.0
1,5,83160,57,0,0,0.0,0.0
1,5,84110,57,0,0,0.0,0.0
1,5,87250,57,0,57,0.0,1.0
1,5,87660,57,0,0,0.0,0.0
1,5,91010,57,0,0,0.0,0.0
1,5,91040,57,0,0,0.0,0.0
1,5,91070,57,0,0,0.0,0.0
1,5,94320,57,0,0,0.0,0.0
1,5,94330,57,0,0,0.0,0.0
1,5,95010,57,0,0,0.0,0.0
1,5,99830,57,57,0,1.0,0.0
1,5,99840,57,0,0,0.0,0.0
0,10,24320,58,0,58,0.0,1.0
0,10,29140,58,0,0,0.0,0.0
0,10,33500,58,0,0,0.0,0.0
0,10,33820,58,0,0,0.0,0.0
0,10,40630,58,0,0,0.0,0.0
0,10,43850,58,0,2,0.0,0.034482758620689655
0,10,45020,58,0,0,0.0,0.0
0,10,45190,58,0,0,0.0,0.0
0,10,45680,58,0,0,0.0,0.0
0,10,46610,58,1,0,0.017241379310344827,0.0
0,10,47550,58,5,0,0.08620689655172414,0.0
0,10,54010,58,58,0,1.0,0.0
0,10,58010,58,0,0,0.0,0.0
0,10,58030,58,0,0,0.0,0.0
0,10,60980,58,0,0,0.0,0.0
0,10,61460,58,0,0,0.0,0.0
0,10,62730,58,0,27,0.0,0.46551724137931033
0,10,63670,58,0,31,0.0,0.5344827586206896
0,10,65010,58,58,0,1.0,0.0
0,10,65030,58,0,0,0.0,0.0
0,10,65260,58,0,0,0.0,0.0
0,10,65940,58,0,53,0.0,0.9137931034482759
0,10,67010,58,58,0,1.0,0.0
0,10,67020,58,0,0,0.0,0.0
0,10,67230,58,0,0,0.0,0.0
0,10,67580,58,0,0,0.0,0.0
0,10,67620,58,0,0,0.0,0.0
0,10,68570,58,0,0,0.0,0.0
0,10,68610,58,58,0,1.0,0.0
0,10,69020,58,0,58,0.0,1.0
0,10,69200,58,58,0,1.0,0.0
0,10,69540,58,0,0,0.0,0.0
0,10,69810,58,0,0,0.0,0.0
0,10,70030,58,0,0,0.0,0.0
0,10,70110,58,0,0,0.0,0.0
0,10,70120,58,0,58,0.0,1.0
0,10,70130,58,0,58,0.0,1.0
0,10,72010,58,0,0,0.0,0.0
0,10,72030,58,58,0,1.0,0.0
0,10,72670,58,58,0,1.0,0.0
0,10,74530,58,0,56,0.0,0.9655172413793104
0,10,77350,58,2,0,0.034482758620689655,0.0
0,10,77410,58,0,0,0.0,0.0
0,10,77510,58,0,0,0.0,0.0
0,10,79360,58,0,58,0.0,1.0
0,10,79740,58,39,0,0.6724137931034483,0.0
0,10,80010,58,55,0,0.9482758620689655,0.0
0,10,80310,58,0,0,0.0,0.0
0,10,80350,58,0,5,0.0,0.08620689655172414
0,10,80580,58,57,0,0.9827586206896551,0.0
0,10,81360,58,0,58,0.0,1.0
0,10,83060,58,0,0,0.0,0.0
0,10,83160,58,0,0,0.0,0.0
0,10,84110,58,0,58,0.0,1.0
0,10,87250,58,0,0,0.0,0.0
0,10,87660,58,15,0,0.25862068965517243,0.0
0,10,91010,58,0,0,0.0,0.0
0,10,91040,58,0,0,0.0,0.0
0,10,91070,58,0,0,0.0,0.0
0,10,94320,58,0,0,0.0,0.0
0,10,94330,58,0,0,0.0,0.0
0,10,95010,58,0,0,0.0,0.0
0,10,99830,58,0,0,0.0,0.0
0,10,99840,58,0,0,0.0,0.0
1,10,24320,57,0,0,0.0,0.0
1,10,29140,57,0,0,0.0,0.0
1,10,33500,57,0,0,0.0,0.0
1,10,33820,57,0,0,0.0,0.0
1,10,40630,57,0,0,0.0,0.0
1,10,43850,57,0,0,0.0,0.0
1,10,45020,57,0,0,0.0,0.0
1,10,45190,57,57,0,1.0,0.0
1,10,45680,57,0,57,0.0,1.0
1,10,46610,57,0,57,0.0,1.0
1,10,47550,57,0,0,0.0,0.0
1,10,54010,57,57,0,1.0,0.0
1,10,58010,57,0,0,0.0,0.0
1,10,58030,57,0,0,0.0,0.0
1,10,60980,57,0,0,0.0,0.0
1,10,61460,57,0,0,0.0,0.0
1,10,62730,57,0,0,0.0,0.0
1,10,63670,57,0,0,0.0,0.0
1,10,65010,57,57,0,1.0,0.0
1,10,65030,57,0,57,0.0,1.0
1,10,65260,57,0,0,0.0,0.0
1,10,65940,57,0,0,0.0,0.0
1,10,67010,57,0,0,0.0,0.0
1,10,67020,57,0,0,0.0,0.0
1,10,67230,57,57,0,1.0,0.0
1,10,67580,57,0,0,0.0,0.0
1,10,67620,57,0,0,0.0,0.0
1,10,68570,57,57,0,1.0,0.0
1,10,68610,57,0,57,0.0,1.0
1,10,69020,57,0,0,0.0,0.0
1,10,69200,57,0,0,0.0,0.0
1,10,69540,57,0,0,0.0,0.0
1,10,69810,57,0,57,0.0,1.0
1,10,70030,57,0,0,0.0,0.0
1,10,70110,57,0,0,0.0,0.0
1,10,70120,57,0,0,0.0,0.0
1,10,70130,57,0,0,0.0,0.0
1,10,72010,57,0,0,0.0,0.0
1,10,72030,57,0,0,0.0,0.0
1,10,72670,57,57,0,1.0,0.0
1,10,74530,57,0,57,0.0,1.0
1,10,77350,57,0,0,0.0,0.0
1,10,77410,57,57,0,1.0,0.0
1,10,77510,57,0,57,0.0,1.0
1,10,79360,57,0,0,0.0,0.0
1,10,79740,57,0,57,0.0,1.0
1,10,80010,57,0,0,0.0,0.0
1,10,80310,57,0,0,0.0,0.0
1,10,80350,57,0,0,0.0,0.0
1,10,80580,57,0,0,0.0,0.0
1,10,81360,57,0,0,0.0,0.0
1,10,83060,57,57,0,1.0,0.0
1,10,83160,57,57,0,1.0,0.0
1,10,84110,57,0,0,0.0,0.0
1,10,87250,57,0,57,0.0,1.0
1,10,87660,57,0,0,0.0,0.0
1,10,91010,57,0,0,0.0,0.0
1,10,91040,57,0,0,0.0,0.0
1,10,91070,57,0,0,0.0,0.0
1,10,94320,57,0,0,0.0,0.0
1,10,94330,57,0,0,0.0,0.0
1,10,95010,57,0,0,0.0,0.0
1,10,99830,57,57,0,1.0,0.0
1,10,99840,57,0,57,0.0,1.0
0,20,24320,58,0,58,0.0,1.0
0,20,29140,58,2,0,0.034482758620689655,0.0
0,20,33500,58,0,5,0.0,0.08620689655172414
0,20,33820,58,58,0,1.0,0.0
0,20,40630,58,58,0,1.0,0.0
0,20,43850,58,0,58,0.0,1.0
0,20,45020,58,0,39,0.0,0.6724137931034483
0,20,45190,58,0,1,0.0,0.017241379310344827
0,20,45680,58,0,57,0.0,0.9827586206896551
0,20,46610,58,58,0,1.0,0.0
0,20,47550,58,58,0,1.0,0.0
0,20,54010,58,58,0,1.0,0.0
0,20,58010,58,0,0,0.0,0.0
0,20,58030,58,0,0,0.0,0.0
