date,Purchase,Sale,Total
2025-01-06,1,0,1
2025-01-21,1,0,1
2025-01-28,8,0,8
2025-01-29,12,0,12
2025-01-30,13,0,13
2025-01-31,6,0,6
2025-02-04,13,0,13
2025-02-05,7,0,7
2025-02-06,17,0,17
2025-02-10,29,0,29
2025-02-11,19,0,19
2025-02-12,1,0,1
2025-02-14,4,0,4
2025-02-19,3,0,3
2025-02-20,22,0,22
2025-02-21,11,0,11
2025-02-24,15,0,15
2025-02-25,3,0,3
2025-02-26,7,0,7
2025-02-27,1,0,1
2025-02-28,21,0,21
2025-03-03,10,0,10
2025-03-04,12,0,12
2025-03-05,13,0,13
2025-03-06,7,0,7
2025-03-07,5,0,5
2025-03-10,14,0,14
2025-03-11,10,0,10
2025-03-12,18,0,18
2025-03-13,17,0,17
2025-03-14,16,0,16
2025-03-17,1,0,1
2025-03-18,3,0,3
2025-03-19,3,0,3
2025-03-20,4,0,4
2025-03-24,8,0,8
2025-03-25,12,0,12
2025-03-26,1,0,1
2025-03-27,8,0,8
2025-04-03,9,0,9
2025-04-04,3,0,3
2025-04-07,2,0,2
2025-04-08,9,0,9
2025-04-11,1,0,1
2025-05-05,30,0,30
2025-05-06,20,0,20
2025-05-07,10,0,10
2025-05-08,49,0,49
2025-05-09,34,0,34
2025-05-12,10,0,10
2025-05-13,8,0,8
2025-05-16,2,0,2
2025-05-22,1,0,1
2025-05-27,2,0,2
2025-05-28,1,0,1
2025-05-29,3,0,3
2025-05-30,1,0,1
2025-06-02,5,0,5
2025-06-03,1,0,1
2025-06-04,1,0,1
2025-06-05,11,0,11
2025-06-06,7,0,7
2025-06-11,2,0,2
2025-06-12,19,0,19
2025-06-13,2,0,2
2025-06-17,0,2,2
2025-06-18,22,2,24
2025-06-23,1,0,1
2025-06-25,1,0,1
2025-06-26,3,0,3
2025-06-27,1,0,1
2025-06-30,6,0,6
2025-07-01,1,0,1
2025-07-02,11,0,11
2025-07-03,2,0,2
2025-07-07,19,0,19
2025-07-08,32,0,32
2025-07-09,7,0,7
2025-07-10,10,0,10
2025-07-11,13,0,13
2025-07-14,7,0,7
2025-07-15,12,0,12
2025-07-16,7,0,7
2025-07-17,9,0,9
2025-07-18,1,0,1
2025-07-22,17,0,17
2025-07-25,1,0,1
2025-08-01,37,0,37
2025-08-07,11,1,12
2025-08-08,6,0,6
2025-08-15,6,0,6
2025-08-18,1,0,1
2025-08-28,23,0,23
2025-08-29,7,0,7
2025-09-02,3,0,3
2025-09-03,6,0,6
2025-09-04,7,0,7
2025-09-05,26,0,26
2025-09-08,12,0,12
2025-09-09,11,1,12
2025-09-10,6,1,7
2025-09-11,10,0,10
2025-09-12,1,0,1
2025-09-15,8,0,8
2025-09-16,3,0,3
2025-09-17,1,0,1
2025-09-18,3,0,3
2025-09-19,18,0,18
2025-09-22,1,0,1
2025-09-23,1,0,1
2025-09-24,2,0,2
2025-09-25,1,0,1
2025-09-26,4,0,4
2025-09-30,1,0,1
2025-10-01,25,0,25
2025-10-02,16,0,16
2025-10-03,7,0,7
2025-10-07,3,0,3
2025-10-09,1,0,1
2025-10-10,1,0,1
2025-10-15,11,0,11
2025-10-20,1,0,1
2025-10-22,1,0,1
2025-10-23,2,0,2
2025-10-24,1,0,1
2025-10-27,1,0,1
2025-10-28,1,0,1
2025-10-30,2,1,3
2025-10-31,31,0,31
2025-11-03,19,0,19
2025-11-04,28,0,28
2025-11-05,12,0,12
2025-11-06,2,0,2
2025-11-08,1,0,1
2025-11-12,2,1,3
2025-11-13,5,2,7
2025-11-14,3,1,4
2025-11-17,1,1,2
2025-11-19,2,0,2
2025-11-24,1,0,1
2025-11-26,1,0,1
2025-11-28,1,0,1
2025-12-01,42,0,42
2025-12-02,13,0,13
2025-12-03,10,0,10
2025-12-04,17,0,17
2025-12-05,6,0,6
2025-12-08,7,0,7
2025-12-09,10,0,10
2025-12-10,10,0,10
2025-12-11,3,0,3
2025-12-12,21,0,21
2025-12-15,6,0,6
2025-12-16,22,0,22
2025-12-17,4,0,4
2025-12-18,6,0,6
2025-12-19,2,1,3
2025-12-29,3,0,3
2025-12-31,1,0,1
2026-01-02,18,0,18
2026-01-06,92,30,122
2026-01-07,14,0,14
2026-01-08,12,4,16
2026-01-09,9,0,9
2026-01-12,80,108,188
2026-01-13,4,2,6
2026-01-14,1,1,2
2026-01-15,1,0,1
2026-01-16,8,0,8
2026-01-20,18,0,18
2026-01-21,50,56,106
2026-01-22,10,7,17
2026-01-23,97,14,111
2026-01-25,1,0,1
2026-01-26,52,40,92
2026-01-27,1,0,1
2026-01-28,8,4,12
2026-01-29,3,3,6
2026-01-30,20,4,24
2026-02-02,29,2,31
2026-02-03,7,0,7
2026-02-04,18,0,18
2026-02-05,2,0,2
2026-02-06,1,0,1
2026-02-09,0,1,1
2026-02-10,73,54,127
2026-02-11,0,1,1
2026-02-12,129,155,284
2026-02-13,1,3,4
2026-02-15,1,0,1
2026-02-18,1,0,1
2026-02-19,31,28,59
2026-02-20,3,0,3
2026-02-21,0,1,1
